iter	MultiClass
0	3.330137559
1	3.093906053
2	2.918392186
3	2.822011141
4	2.721832606
5	2.648744968
6	2.587228204
7	2.543009426
8	2.511298393
9	2.47294978
10	2.427365912
11	2.39248396
12	2.355859723
13	2.325881458
14	2.283146769
15	2.251448574
16	2.22597307
17	2.197968648
18	2.173767966
19	2.145280935
20	2.122475631
21	2.109704492
22	2.089933635
23	2.065907318
24	2.054718205
25	2.03998279
26	2.019386916
27	2.004285109
28	1.989607864
29	1.970553253
30	1.956779767
31	1.939686386
32	1.92016963
33	1.912084986
34	1.901557444
35	1.887386441
36	1.874237937
37	1.859403194
38	1.839356574
39	1.820526144
40	1.81133436
41	1.797012471
42	1.788085838
43	1.767797139
44	1.751785095
45	1.737026084
46	1.72239255
47	1.715404694
48	1.70440944
49	1.695758054
50	1.68865341
51	1.679135441
52	1.669487045
53	1.659076345
54	1.648470539
55	1.640354989
56	1.626486682
57	1.617524828
58	1.608313484
59	1.59731447
60	1.589886482
61	1.58143167
62	1.566473791
63	1.554798081
64	1.547713831
65	1.534087021
66	1.522789212
67	1.51223535
68	1.501091908
69	1.488868697
70	1.476566009
71	1.464053182
72	1.450150936
73	1.437564468
74	1.42912593
75	1.42032961
76	1.409268468
77	1.39843151
78	1.38731505
79	1.379876401
80	1.371924853
81	1.363648187
82	1.353607104
83	1.345462881
84	1.338068673
85	1.329523794
86	1.3230958
87	1.312852601
88	1.306389748
89	1.300227485
90	1.295675766
91	1.288753316
92	1.278380464
93	1.270090863
94	1.261097675
95	1.252869466
96	1.248351607
97	1.241433755
98	1.233809241
99	1.226101437
100	1.214554419
101	1.205955434
102	1.197089012
103	1.191614827
104	1.186390986
105	1.177714995
106	1.172218401
107	1.164505995
108	1.154677415
109	1.14673869
110	1.141851862
111	1.134867527
112	1.1267998
113	1.119991607
114	1.113959199
115	1.108409514
116	1.103088665
117	1.099602721
118	1.094922292
119	1.089975524
120	1.081566518
121	1.077203444
122	1.06952567
123	1.065536079
124	1.060810467
125	1.055703644
126	1.049313439
127	1.041233847
128	1.036761869
129	1.031529606
130	1.024131285
131	1.020285625
132	1.015398386
133	1.012052836
134	1.0073734
135	1.001798733
136	0.9965188941
137	0.9927105349
138	0.9892772355
139	0.9843250966
140	0.9783077122
141	0.972427666
142	0.9680849164
143	0.9607592526
144	0.9549759545
145	0.9516122665
146	0.9444334828
147	0.9409475214
148	0.9340344804
149	0.9299124546
150	0.9251070256
151	0.920743927
152	0.9177035915
153	0.91264955
154	0.9102692148
155	0.9060332821
156	0.8986756535
157	0.8953260401
158	0.8887296222
159	0.8860643523
160	0.8830335132
161	0.8782394017
162	0.8760864236
163	0.8720106852
164	0.8672193694
165	0.8638702103
166	0.8623580413
167	0.8569933167
168	0.8521873455
169	0.8498132587
170	0.8463504427
171	0.8436103797
172	0.8404305955
173	0.836889148
174	0.8329874079
