iter	Passed	Remaining
0	799	398780
1	1658	412895
2	2785	461467
3	3523	436894
4	4064	402406
5	4932	406093
6	5742	404454
7	6232	383299
8	6829	372567
9	7490	367047
10	8050	357861
11	8498	345607
12	9005	337365
13	9534	330983
14	10328	333966
15	10964	331687
16	11564	328555
17	11863	317691
18	12180	308351
19	12603	302488
20	12962	295672
21	13368	290462
22	13695	284037
23	14102	279706
24	14351	272685
25	14707	268136
26	15041	263499
27	15326	258356
28	15663	254396
29	16029	251132
30	16350	247371
31	16660	243658
32	16952	239899
33	17166	235279
34	17424	231499
35	17744	228709
36	18055	225940
37	18353	223139
38	18641	220350
39	18948	217903
40	19228	215263
41	19725	215104
42	20002	212581
43	20437	211802
44	20754	209852
45	21059	207845
46	21344	205722
47	21691	204265
48	21979	202299
49	22262	200359
50	22515	198225
51	22831	196704
52	23115	194957
53	23474	193878
54	23779	192399
55	23996	190258
56	24305	188902
57	24627	187681
58	24934	186372
59	25232	185040
60	25525	183697
61	25808	182321
62	26108	181104
63	26374	179679
64	26668	178474
65	26956	177262
66	27246	176085
67	27573	175171
68	27873	174111
69	28161	172994
70	28457	171946
71	28778	171075
72	29047	169906
73	29315	168764
74	29604	167758
75	29907	166852
76	30180	165797
77	30459	164795
78	30776	164012
79	31050	163013
80	31352	162179
81	31639	161282
82	31907	160304
83	32177	159355
84	32460	158483
85	32781	157810
86	33095	157108
87	33355	156166
88	33680	155537
89	33965	154729
90	34265	154006
91	34601	153452
92	34906	152761
93	35177	151935
94	35443	151101
95	35769	150528
96	36045	149756
97	36316	148972
98	36613	148304
99	36876	147507
100	37162	146811
101	37445	146109
102	37747	145493
103	38067	144950
104	38339	144229
105	38629	143583
106	38930	142987
107	39206	142304
108	39469	141583
109	39755	140951
110	40041	140325
111	40312	139654
112	40624	139130
113	40922	138562
114	41248	138092
115	41562	137587
116	41934	137273
117	42277	136864
118	42623	136466
119	42933	135955
120	43213	135354
121	43514	134822
122	43802	134256
123	44095	133709
124	44441	133323
125	44777	132911
126	45057	132333
127	45341	131775
128	45666	131334
129	45945	130767
130	46264	130317
131	46542	129753
132	46861	129308
133	47170	128838
134	47459	128315
135	47792	127913
136	48065	127355
137	48340	126806
138	48605	126234
139	48887	125711
140	49165	125180
141	49469	124718
142	50004	124835
143	50279	124301
144	50585	123847
145	50902	123421
146	51174	122887
147	51450	122368
148	51778	121974
149	52084	121531
150	52395	121099
151	52678	120606
152	52940	120067
153	53229	119594
154	53485	119047
155	53814	118667
156	54076	118142
157	54408	117771
158	54776	117477
159	55067	117018
160	55344	116533
161	55626	116061
162	55956	115688
163	56259	115264
164	56573	114860
165	56901	114488
166	57209	114077
167	57483	113598
168	57909	113421
169	58324	113217
170	58609	112764
171	59051	112609
172	59351	112184
173	59622	111706
174	59929	111296
